current path: ./saved_models/vae-train-1
Loading data
current path: ./saved_models/vae-train-1
Loading data
get poison test loader
Loaded parameters from saved model: LR is 0.001 and current epoch is 1801
Poisoned following participants: 1
We use following environment for graphs:  ppdl_experiment_cifar_pixel_pattern_12
participant_ids are: range(0, 100)
lamda: 0
Normalize: l_f: 0.3465, l_d: 127.7490, kld_loss: 0.0020, s_l_f: 0.1292, s_l_d: 2.1097, s_kld_loss: 0.0009
Iteration 501, Generator loss: -2.1089, l_f: 0.3465, l_d: 127.7490, recons_loss: -127.7490, kld_loss: 0.0020
Normalize: l_f: 0.3561, l_d: 86.1621, kld_loss: 0.0133, s_l_f: 0.1323, s_l_d: 1.9403, s_kld_loss: 0.0057
Iteration 601, Generator loss: -1.9346, l_f: 0.3561, l_d: 86.1621, recons_loss: -86.1621, kld_loss: 0.0133
Normalize: l_f: 0.3575, l_d: 102.0996, kld_loss: 0.0038, s_l_f: 0.1327, s_l_d: 2.0133, s_kld_loss: 0.0016
Iteration 701, Generator loss: -2.0116, l_f: 0.3575, l_d: 102.0996, recons_loss: -102.0996, kld_loss: 0.0038
Epoch 2, Generator loss: -1.9230, l_f: 0.3586, l_d: 83.1738, recons_loss: -83.1738, kld_loss: 0.0051
Normalize: l_f: 0.3593, l_d: 73.2129, kld_loss: 0.0051, s_l_f: 0.1333, s_l_d: 1.8705, s_kld_loss: 0.0022
Iteration 1, Generator loss: -1.8683, l_f: 0.3593, l_d: 73.2129, recons_loss: -73.2129, kld_loss: 0.0051
Normalize: l_f: 0.3581, l_d: 95.1270, kld_loss: 0.0031, s_l_f: 0.1329, s_l_d: 1.9828, s_kld_loss: 0.0013
Iteration 101, Generator loss: -1.9815, l_f: 0.3581, l_d: 95.1270, recons_loss: -95.1270, kld_loss: 0.0031
Normalize: l_f: 0.3598, l_d: 85.1660, kld_loss: 0.0055, s_l_f: 0.1335, s_l_d: 1.9353, s_kld_loss: 0.0024
Iteration 201, Generator loss: -1.9329, l_f: 0.3598, l_d: 85.1660, recons_loss: -85.1660, kld_loss: 0.0055
Normalize: l_f: 0.3565, l_d: 80.6836, kld_loss: 0.0515, s_l_f: 0.1324, s_l_d: 1.9121, s_kld_loss: 0.0218
Iteration 301, Generator loss: -1.8903, l_f: 0.3565, l_d: 80.6836, recons_loss: -80.6836, kld_loss: 0.0515
Normalize: l_f: 0.3583, l_d: 84.1699, kld_loss: 0.0164, s_l_f: 0.1330, s_l_d: 1.9303, s_kld_loss: 0.0071
Iteration 401, Generator loss: -1.9232, l_f: 0.3583, l_d: 84.1699, recons_loss: -84.1699, kld_loss: 0.0164
Normalize: l_f: 0.3552, l_d: 85.1660, kld_loss: 0.0098, s_l_f: 0.1320, s_l_d: 1.9353, s_kld_loss: 0.0042
Iteration 501, Generator loss: -1.9311, l_f: 0.3552, l_d: 85.1660, recons_loss: -85.1660, kld_loss: 0.0098
Normalize: l_f: 0.3554, l_d: 71.7188, kld_loss: 0.0058, s_l_f: 0.1321, s_l_d: 1.8616, s_kld_loss: 0.0025
Iteration 601, Generator loss: -1.8591, l_f: 0.3554, l_d: 71.7188, recons_loss: -71.7188, kld_loss: 0.0058
Normalize: l_f: 0.3550, l_d: 91.1426, kld_loss: 0.0052, s_l_f: 0.1319, s_l_d: 1.9645, s_kld_loss: 0.0023
Iteration 701, Generator loss: -1.9622, l_f: 0.3550, l_d: 91.1426, recons_loss: -91.1426, kld_loss: 0.0052
Epoch 3, Generator loss: -1.7576, l_f: 0.3573, l_d: 56.7773, recons_loss: -56.7773, kld_loss: 0.0096
Normalize: l_f: 0.3571, l_d: 77.6953, kld_loss: 0.0076, s_l_f: 0.1326, s_l_d: 1.8959, s_kld_loss: 0.0033
Iteration 1, Generator loss: -1.8926, l_f: 0.3571, l_d: 77.6953, recons_loss: -77.6953, kld_loss: 0.0076
Normalize: l_f: 0.3564, l_d: 80.6836, kld_loss: 0.0077, s_l_f: 0.1324, s_l_d: 1.9121, s_kld_loss: 0.0033
Iteration 101, Generator loss: -1.9088, l_f: 0.3564, l_d: 80.6836, recons_loss: -80.6836, kld_loss: 0.0077
Normalize: l_f: 0.3573, l_d: 75.2051, kld_loss: 0.0132, s_l_f: 0.1327, s_l_d: 1.8820, s_kld_loss: 0.0057
Iteration 201, Generator loss: -1.8763, l_f: 0.3573, l_d: 75.2051, recons_loss: -75.2051, kld_loss: 0.0132
Normalize: l_f: 0.3547, l_d: 84.1699, kld_loss: 0.0019, s_l_f: 0.1318, s_l_d: 1.9303, s_kld_loss: 0.0008
Iteration 301, Generator loss: -1.9295, l_f: 0.3547, l_d: 84.1699, recons_loss: -84.1699, kld_loss: 0.0019
Normalize: l_f: 0.3572, l_d: 75.2051, kld_loss: 0.0760, s_l_f: 0.1327, s_l_d: 1.8820, s_kld_loss: 0.0318
Iteration 401, Generator loss: -1.8502, l_f: 0.3572, l_d: 75.2051, recons_loss: -75.2051, kld_loss: 0.0760
Normalize: l_f: 0.3546, l_d: 77.6953, kld_loss: 0.0132, s_l_f: 0.1318, s_l_d: 1.8959, s_kld_loss: 0.0057
Iteration 501, Generator loss: -1.8903, l_f: 0.3546, l_d: 77.6953, recons_loss: -77.6953, kld_loss: 0.0132
Normalize: l_f: 0.3551, l_d: 74.7070, kld_loss: 0.0037, s_l_f: 0.1320, s_l_d: 1.8791, s_kld_loss: 0.0016
Iteration 601, Generator loss: -1.8776, l_f: 0.3551, l_d: 74.7070, recons_loss: -74.7070, kld_loss: 0.0037
Normalize: l_f: 0.3558, l_d: 67.2363, kld_loss: 0.0023, s_l_f: 0.1322, s_l_d: 1.8340, s_kld_loss: 0.0010
Iteration 701, Generator loss: -1.8330, l_f: 0.3558, l_d: 67.2363, recons_loss: -67.2363, kld_loss: 0.0023
Epoch 4, Generator loss: -1.8292, l_f: 0.3566, l_d: 67.2363, recons_loss: -67.2363, kld_loss: 0.0111
Normalize: l_f: 0.3573, l_d: 85.1660, kld_loss: 0.0083, s_l_f: 0.1327, s_l_d: 1.9353, s_kld_loss: 0.0036
