current path: ./saved_models/vae-train
Loading data
current path: ./saved_models/vae-train
Loading data
current path: ./saved_models/vae-train
Loading data
get poison test loader
current path: ./saved_models/vae-train
Loading data
get poison test loader
current path: ./saved_models/vae-train
Loading data
get poison test loader
Loaded parameters from saved model: LR is 0.001 and current epoch is 1801
Poisoned following participants: 1
We use following environment for graphs:  ppdl_experiment_cifar_pixel_pattern_12
participant_ids are: range(0, 100)
alpha: 0
Normalize: l_f: 0.3389, l_d: 72.2168, kld_loss: 0.0033, s_l_f: 0.1268, s_l_d: 1.8646, s_kld_loss: 0.0014
Iteration 301, Generator loss: -1.8632, l_f: 0.3389, l_d: 72.2168, recons_loss: -72.2168, kld_loss: 0.0033
Normalize: l_f: 0.3413, l_d: 79.6875, kld_loss: 0.0034, s_l_f: 0.1275, s_l_d: 1.9068, s_kld_loss: 0.0015
Iteration 401, Generator loss: -1.9053, l_f: 0.3413, l_d: 79.6875, recons_loss: -79.6875, kld_loss: 0.0034
Normalize: l_f: 0.3364, l_d: 62.2559, kld_loss: 0.0964, s_l_f: 0.1259, s_l_d: 1.8011, s_kld_loss: 0.0400
Iteration 501, Generator loss: -1.7611, l_f: 0.3364, l_d: 62.2559, recons_loss: -62.2559, kld_loss: 0.0964
Normalize: l_f: 0.3371, l_d: 89.6484, kld_loss: 0.0042, s_l_f: 0.1262, s_l_d: 1.9574, s_kld_loss: 0.0018
Iteration 601, Generator loss: -1.9555, l_f: 0.3371, l_d: 89.6484, recons_loss: -89.6484, kld_loss: 0.0042
Normalize: l_f: 0.3374, l_d: 69.7266, kld_loss: 0.0174, s_l_f: 0.1262, s_l_d: 1.8496, s_kld_loss: 0.0075
Iteration 701, Generator loss: -1.8421, l_f: 0.3374, l_d: 69.7266, recons_loss: -69.7266, kld_loss: 0.0174
Epoch 7, Generator loss: -1.8462, l_f: 0.3393, l_d: 69.7266, recons_loss: -69.7266, kld_loss: 0.0077
Normalize: l_f: 0.3395, l_d: 64.7461, kld_loss: 0.0066, s_l_f: 0.1270, s_l_d: 1.8179, s_kld_loss: 0.0029
Iteration 1, Generator loss: -1.8150, l_f: 0.3395, l_d: 64.7461, recons_loss: -64.7461, kld_loss: 0.0066
Normalize: l_f: 0.3394, l_d: 84.6680, kld_loss: 0.0074, s_l_f: 0.1269, s_l_d: 1.9328, s_kld_loss: 0.0032
Iteration 101, Generator loss: -1.9296, l_f: 0.3394, l_d: 84.6680, recons_loss: -84.6680, kld_loss: 0.0074
Normalize: l_f: 0.3403, l_d: 87.1582, kld_loss: 0.0008, s_l_f: 0.1272, s_l_d: 1.9453, s_kld_loss: 0.0003
Iteration 201, Generator loss: -1.9449, l_f: 0.3403, l_d: 87.1582, recons_loss: -87.1582, kld_loss: 0.0008
Normalize: l_f: 0.3370, l_d: 62.2559, kld_loss: 0.0306, s_l_f: 0.1261, s_l_d: 1.8011, s_kld_loss: 0.0131
Iteration 301, Generator loss: -1.7880, l_f: 0.3370, l_d: 62.2559, recons_loss: -62.2559, kld_loss: 0.0306
Normalize: l_f: 0.3405, l_d: 67.2363, kld_loss: 0.0040, s_l_f: 0.1273, s_l_d: 1.8340, s_kld_loss: 0.0017
Iteration 401, Generator loss: -1.8323, l_f: 0.3405, l_d: 67.2363, recons_loss: -67.2363, kld_loss: 0.0040
Normalize: l_f: 0.3390, l_d: 89.6484, kld_loss: 0.0036, s_l_f: 0.1268, s_l_d: 1.9574, s_kld_loss: 0.0015
Iteration 501, Generator loss: -1.9558, l_f: 0.3390, l_d: 89.6484, recons_loss: -89.6484, kld_loss: 0.0036
Normalize: l_f: 0.3386, l_d: 72.2168, kld_loss: 0.0091, s_l_f: 0.1266, s_l_d: 1.8646, s_kld_loss: 0.0039
Iteration 601, Generator loss: -1.8607, l_f: 0.3386, l_d: 72.2168, recons_loss: -72.2168, kld_loss: 0.0091
Normalize: l_f: 0.3409, l_d: 69.7266, kld_loss: 0.0175, s_l_f: 0.1274, s_l_d: 1.8496, s_kld_loss: 0.0075
Iteration 701, Generator loss: -1.8420, l_f: 0.3409, l_d: 69.7266, recons_loss: -69.7266, kld_loss: 0.0175
Epoch 8, Generator loss: -1.8121, l_f: 0.3422, l_d: 64.7461, recons_loss: -64.7461, kld_loss: 0.0135
Normalize: l_f: 0.3422, l_d: 64.7461, kld_loss: 0.0126, s_l_f: 0.1278, s_l_d: 1.8179, s_kld_loss: 0.0054
Iteration 1, Generator loss: -1.8124, l_f: 0.3422, l_d: 64.7461, recons_loss: -64.7461, kld_loss: 0.0126
Normalize: l_f: 0.3400, l_d: 82.1777, kld_loss: 0.0055, s_l_f: 0.1271, s_l_d: 1.9200, s_kld_loss: 0.0024
Iteration 101, Generator loss: -1.9176, l_f: 0.3400, l_d: 82.1777, recons_loss: -82.1777, kld_loss: 0.0055
Normalize: l_f: 0.3424, l_d: 79.6875, kld_loss: 0.0210, s_l_f: 0.1279, s_l_d: 1.9068, s_kld_loss: 0.0090
Iteration 201, Generator loss: -1.8978, l_f: 0.3424, l_d: 79.6875, recons_loss: -79.6875, kld_loss: 0.0210
Normalize: l_f: 0.3382, l_d: 74.7070, kld_loss: 0.0150, s_l_f: 0.1265, s_l_d: 1.8791, s_kld_loss: 0.0065
Iteration 301, Generator loss: -1.8727, l_f: 0.3382, l_d: 74.7070, recons_loss: -74.7070, kld_loss: 0.0150
Normalize: l_f: 0.3405, l_d: 79.6875, kld_loss: 0.0017, s_l_f: 0.1273, s_l_d: 1.9068, s_kld_loss: 0.0007
Iteration 401, Generator loss: -1.9061, l_f: 0.3405, l_d: 79.6875, recons_loss: -79.6875, kld_loss: 0.0017
Normalize: l_f: 0.3381, l_d: 79.6875, kld_loss: 0.0086, s_l_f: 0.1265, s_l_d: 1.9068, s_kld_loss: 0.0037
Iteration 501, Generator loss: -1.9031, l_f: 0.3381, l_d: 79.6875, recons_loss: -79.6875, kld_loss: 0.0086
Normalize: l_f: 0.3385, l_d: 67.2363, kld_loss: 0.0100, s_l_f: 0.1266, s_l_d: 1.8340, s_kld_loss: 0.0043
Iteration 601, Generator loss: -1.8297, l_f: 0.3385, l_d: 67.2363, recons_loss: -67.2363, kld_loss: 0.0100
Normalize: l_f: 0.3399, l_d: 84.6680, kld_loss: 0.0067, s_l_f: 0.1271, s_l_d: 1.9328, s_kld_loss: 0.0029
Iteration 701, Generator loss: -1.9299, l_f: 0.3399, l_d: 84.6680, recons_loss: -84.6680, kld_loss: 0.0067
Epoch 9, Generator loss: -1.9027, l_f: 0.3401, l_d: 79.6875, recons_loss: -79.6875, kld_loss: 0.0095
--------------------
This turn's alpha is : 0
alpha: 0.25
Normalize: l_f: 0.3497, l_d: 89.6484, kld_loss: 0.2908, s_l_f: 0.1302, s_l_d: 1.9574, s_kld_loss: 0.1108
Iteration 1, Generator loss: -1.3897, l_f: 0.3497, l_d: 89.6484, recons_loss: -89.6484, kld_loss: 0.2908
Normalize: l_f: 0.3500, l_d: 93.6328, kld_loss: 0.0004, s_l_f: 0.1303, s_l_d: 1.9760, s_kld_loss: 0.0002
Iteration 101, Generator loss: -1.5144, l_f: 0.3500, l_d: 93.6328, recons_loss: -93.6328, kld_loss: 0.0004
Normalize: l_f: 0.3490, l_d: 91.6406, kld_loss: 0.0010, s_l_f: 0.1300, s_l_d: 1.9668, s_kld_loss: 0.0005
Iteration 201, Generator loss: -1.5072, l_f: 0.3490, l_d: 91.6406, recons_loss: -91.6406, kld_loss: 0.0010
Normalize: l_f: 0.3466, l_d: 96.6211, kld_loss: 0.0007, s_l_f: 0.1292, s_l_d: 1.9895, s_kld_loss: 0.0003
Iteration 301, Generator loss: -1.5242, l_f: 0.3466, l_d: 96.6211, recons_loss: -96.6211, kld_loss: 0.0007
Normalize: l_f: 0.3494, l_d: 92.6367, kld_loss: 0.0015, s_l_f: 0.1301, s_l_d: 1.9714, s_kld_loss: 0.0006
Iteration 401, Generator loss: -1.5105, l_f: 0.3494, l_d: 92.6367, recons_loss: -92.6367, kld_loss: 0.0015
Normalize: l_f: 0.3480, l_d: 89.6484, kld_loss: 0.0009, s_l_f: 0.1297, s_l_d: 1.9574, s_kld_loss: 0.0004
Iteration 501, Generator loss: -1.5001, l_f: 0.3480, l_d: 89.6484, recons_loss: -89.6484, kld_loss: 0.0009
Normalize: l_f: 0.3456, l_d: 100.6055, kld_loss: 0.0000, s_l_f: 0.1289, s_l_d: 2.0069, s_kld_loss: 0.0000
Iteration 601, Generator loss: -1.5374, l_f: 0.3456, l_d: 100.6055, recons_loss: -100.6055, kld_loss: 0.0000
Normalize: l_f: 0.3501, l_d: 90.1465, kld_loss: 0.0000, s_l_f: 0.1304, s_l_d: 1.9597, s_kld_loss: 0.0000
Iteration 701, Generator loss: -1.5024, l_f: 0.3501, l_d: 90.1465, recons_loss: -90.1465, kld_loss: 0.0000
Epoch 0, Generator loss: -1.5256, l_f: 0.3491, l_d: 97.1191, recons_loss: -97.1191, kld_loss: 0.0016
Normalize: l_f: 0.3495, l_d: 98.6133, kld_loss: 0.0025, s_l_f: 0.1302, s_l_d: 1.9983, s_kld_loss: 0.0011
Iteration 1, Generator loss: -1.5302, l_f: 0.3495, l_d: 98.6133, recons_loss: -98.6133, kld_loss: 0.0025
Normalize: l_f: 0.3484, l_d: 97.6172, kld_loss: 0.0000, s_l_f: 0.1298, s_l_d: 1.9940, s_kld_loss: 0.0000
